COUNTRY,STATION,SOUID,YEAR,ANNUAL,WINTER_HALF_YEAR,SUMMER_HALF_YEAR,WINTER_DJF,SPRING_MAM,SUMMER_JJA,AUTUMN_SON,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Spain,TOLEDO,3967,2010,65.64,43.97,86.48,30.56,72.22,93.86,63.19,30.13,37.47,51.94,73.39,91.37,86.11,102.83,92.64,72.39,63.74,53.42,32.37
Spain,TOLEDO,3967,2011,71.3,47.86,91.94,41.67,65.11,103.01,69.52,31.26,63.48,44.6,70.22,80.67,103.92,108.55,96.59,91.36,75.11,41.92,47.85
Spain,TOLEDO,3967,2012,74.93,63.39,91.41,61.42,77.21,105.46,59.33,61.83,75.49,78.25,62.56,90.35,103.14,112.07,101.1,78.28,62.8,36.81,35.91
Spain,TOLEDO,3967,2013,71.21,46.2,90.6,44.83,65.75,101.85,66.55,42.58,57.2,42.66,70.31,84.44,100.08,106.02,99.38,82.78,60.89,56.17,51.45
Spain,TOLEDO,3967,2014,71.69,51.87,92.94,41.36,79.65,103.51,61.69,33.28,39.14,69.22,78.69,90.99,100.25,105.13,105.05,76.75,70.0,38.61,50.08
Spain,TOLEDO,3967,2015,75.64,57.25,93.66,56.59,79.17,102.08,66.09,63.17,56.52,65.24,76.72,95.46,103.11,107.9,95.27,82.92,55.54,60.17,44.49
Spain,TOLEDO,3967,2016,69.98,52.35,90.52,42.22,69.36,105.82,64.82,35.4,47.07,71.37,66.75,69.87,108.42,106.1,103.04,88.69,58.44,47.53,36.64
Spain,TOLEDO,3967,2017,,51.01,95.65,44.12,81.97,101.19,,50.19,45.68,66.94,90.33,88.92,98.83,108.53,96.61,91.31,,,48.17
Spain,TOLEDO,3967,2018,69.36,,88.92,49.35,67.52,99.24,62.2,46.34,53.99,53.28,68.03,81.26,87.92,110.51,98.92,86.08,59.33,41.28,39.26
Spain,TOLEDO,3967,2019,75.09,,91.54,,83.28,101.91,58.58,,76.13,84.09,67.83,97.42,107.58,100.99,97.34,74.5,65.81,37.83,31.08
Spain,TOLEDO,3967,2020,68.33,47.44,87.4,40.71,65.45,101.49,62.2,39.14,52.67,58.12,56.19,81.75,101.31,105.48,97.69,81.25,69.62,35.47,40.32
Spain,TOLEDO,3967,2021,72.01,53.5,87.07,47.33,75.74,98.34,65.56,47.98,54.38,72.72,62.61,91.48,88.78,105.38,100.56,72.39,66.97,57.33,41.48
Spain,TOLEDO,3967,2022,70.63,54.0,93.19,56.03,67.41,101.58,62.74,64.54,62.71,31.64,73.53,96.1,98.83,108.14,97.9,84.39,59.3,44.64,25.67
Spain,TOLEDO,3967,2023,74.36,53.65,91.33,45.96,85.51,99.35,59.63,47.74,66.46,79.03,96.5,81.34,85.25,109.17,103.17,71.92,59.03,47.97,44.09
Spain,TOLEDO,3967,2024,70.48,50.36,92.62,46.99,79.8,95.82,57.06,43.2,54.14,53.92,86.92,98.79,83.14,104.87,99.03,82.14,44.19,45.28,49.57
Spain,TOLEDO,3967,2025,68.9,47.34,90.03,51.34,67.89,97.95,64.55,41.77,63.9,40.89,75.03,87.98,92.89,106.64,94.17,82.83,59.62,51.36,30.11
Spain,VALENCIA AEROPUERTO,3969,2010,64.99,,81.4,37.06,69.1,87.0,65.97,32.2,36.79,53.47,65.06,88.66,86.64,93.41,80.94,73.06,65.94,58.92,42.82
Spain,VALENCIA AEROPUERTO,3969,2011,64.25,56.03,75.94,53.18,64.22,76.6,63.29,53.17,64.64,51.61,71.42,69.87,79.58,66.16,84.17,84.72,66.18,38.86,39.6
Spain,VALENCIA AEROPUERTO,3969,2012,65.7,58.11,,55.83,75.71,,50.49,55.43,72.5,75.19,67.36,84.61,80.14,,75.08,59.92,57.96,33.36,49.27
Spain,VALENCIA AEROPUERTO,3969,2013,60.49,48.87,71.02,51.63,55.53,80.82,56.96,51.8,54.05,46.8,57.33,62.53,88.22,91.75,62.74,63.39,55.35,52.19,39.73
Spain,VALENCIA AEROPUERTO,3969,2014,66.34,46.89,80.92,35.69,74.22,86.56,61.89,25.81,42.14,65.81,77.22,79.73,85.67,95.62,78.36,68.58,71.61,45.14,58.36
Spain,VALENCIA AEROPUERTO,3969,2015,68.3,58.44,81.02,57.4,75.7,85.75,57.88,65.48,47.38,61.18,73.14,92.69,95.42,86.96,75.19,62.36,46.77,64.86,46.91
Spain,VALENCIA AEROPUERTO,3969,2016,67.47,53.37,84.29,49.43,69.4,93.66,57.86,44.78,57.1,60.38,69.14,78.68,96.42,93.79,90.86,76.5,50.73,46.58,44.6
Spain,VALENCIA AEROPUERTO,3969,2017,72.1,52.96,83.08,48.53,79.41,87.16,69.95,52.04,48.99,74.22,74.92,88.95,96.19,92.53,73.06,72.64,71.42,65.72,52.96
Spain,VALENCIA AEROPUERTO,3969,2018,68.73,60.71,81.81,55.16,69.01,92.78,54.25,60.19,52.02,61.29,68.61,77.12,93.36,104.44,80.56,66.22,57.2,39.22,62.61
Spain,VALENCIA AEROPUERTO,3969,2019,72.19,61.96,81.13,65.88,74.27,92.27,62.65,63.74,71.88,77.31,61.42,83.66,97.53,94.35,85.11,64.06,67.23,56.5,43.17
Spain,VALENCIA AEROPUERTO,3969,2020,68.61,54.31,80.68,53.27,59.96,89.94,65.32,48.58,69.08,42.31,54.08,83.31,91.36,89.11,89.38,76.19,70.27,49.33,60.22
Spain,VALENCIA AEROPUERTO,3969,2021,63.66,56.54,73.32,53.04,61.25,82.93,59.91,54.3,43.69,59.97,46.44,76.85,79.97,95.48,73.23,67.08,61.85,50.72,52.04
Spain,VALENCIA AEROPUERTO,3969,2022,65.72,52.13,83.85,58.02,58.15,95.6,55.33,61.21,61.1,26.67,57.17,90.59,99.0,94.25,93.66,67.56,47.04,51.67,38.74
Spain,VALENCIA AEROPUERTO,3969,2023,72.51,55.27,81.93,51.29,79.89,86.88,65.99,63.12,52.08,78.52,88.67,72.77,80.61,85.97,93.84,69.47,62.93,65.67,54.97
Spain,VALENCIA AEROPUERTO,3969,2024,67.59,56.17,83.92,51.1,74.82,89.62,54.84,41.53,57.18,55.13,79.0,90.46,86.5,96.1,86.16,64.58,54.6,45.36,54.01
Spain,VALENCIA AEROPUERTO,3969,2025,66.43,50.11,82.38,54.28,64.1,89.47,63.91,52.07,57.02,38.15,70.31,84.06,90.25,93.44,84.76,70.97,57.93,63.03,35.16
Spain,VALLADOLID AEROPUERTO,3970,2010,60.51,36.16,83.48,26.35,64.33,94.46,53.96,26.29,32.83,41.13,73.28,78.87,78.28,107.31,97.26,64.78,58.28,38.67,26.94
Spain,VALLADOLID AEROPUERTO,3970,2011,63.34,39.07,85.44,31.43,64.99,94.95,57.7,20.27,48.75,42.42,69.39,83.31,95.94,104.11,84.84,74.5,70.48,27.69,37.42
Spain,VALLADOLID AEROPUERTO,3970,2012,62.31,48.88,80.44,43.41,64.23,96.79,48.53,32.88,61.06,63.82,40.47,87.63,86.69,108.23,95.13,62.81,49.14,33.64,25.35
Spain,VALLADOLID AEROPUERTO,3970,2013,60.65,36.56,81.93,34.15,54.93,95.7,54.22,31.61,46.7,33.82,59.64,71.48,88.5,98.71,99.65,72.81,48.06,42.0,34.14
Spain,VALLADOLID AEROPUERTO,3970,2014,60.62,40.28,82.84,31.07,68.93,94.28,48.38,23.66,35.89,57.55,62.56,86.48,95.22,94.49,93.15,64.31,58.41,22.08,31.34
Spain,VALLADOLID AEROPUERTO,3970,2015,61.67,41.58,82.57,37.84,67.65,93.08,50.26,37.39,45.54,54.46,57.83,90.35,84.69,104.44,89.84,67.03,44.14,39.81,23.01
Spain,VALLADOLID AEROPUERTO,3970,2016,60.28,36.07,82.7,27.61,56.44,101.1,54.03,21.37,39.2,49.22,52.64,67.34,100.83,103.84,98.6,72.25,54.73,35.08,27.58
Spain,VALLADOLID AEROPUERTO,3970,2017,68.08,43.74,85.27,39.63,69.03,92.82,68.5,44.52,47.56,53.04,85.33,69.25,86.17,100.56,91.51,78.64,68.49,58.36,32.77
Spain,VALLADOLID AEROPUERTO,3970,2018,60.3,46.41,80.98,36.56,57.42,92.4,56.31,29.81,48.24,41.34,56.19,74.68,77.5,98.09,101.13,77.25,57.58,34.06,26.69
Spain,VALLADOLID AEROPUERTO,3970,2019,65.24,49.18,83.7,44.31,75.57,91.6,48.33,43.33,64.88,69.6,61.33,95.32,93.89,92.12,88.87,69.83,50.35,24.75,28.25
Spain,VALLADOLID AEROPUERTO,3970,2020,,37.69,,32.47,,,55.15,19.73,50.6,52.88,,,,105.92,92.1,70.67,55.99,38.75,26.16
Spain,VALLADOLID AEROPUERTO,3970,2021,63.37,42.15,80.03,31.09,64.72,97.23,56.59,30.67,37.02,63.68,52.28,77.8,88.25,103.63,99.52,57.33,58.06,54.33,35.3
Spain,VALLADOLID AEROPUERTO,3970,2022,63.82,48.53,86.57,50.26,60.22,100.0,50.23,60.59,55.39,28.33,66.86,85.67,91.08,110.32,98.31,66.0,47.42,37.36,17.9
Spain,VALLADOLID AEROPUERTO,3970,2023,64.9,42.96,86.17,38.67,74.86,95.1,48.1,39.7,60.51,56.4,82.5,85.91,77.22,106.85,100.65,62.69,45.73,35.94,24.25
Spain,VALLADOLID AEROPUERTO,3970,2024,63.11,38.39,85.06,33.03,67.53,95.83,53.25,26.67,49.22,49.17,75.39,78.28,85.81,106.75,94.49,69.75,43.84,46.47,34.38
Spain,VALLADOLID AEROPUERTO,3970,2025,61.59,39.39,84.5,36.1,62.65,94.49,56.75,32.37,42.14,37.61,67.83,82.69,86.31,108.12,88.79,72.39,58.6,39.19,21.83
Spain,DAROCA,3971,2010,56.65,37.56,74.48,27.24,57.6,84.96,53.6,22.58,33.3,45.48,57.53,69.78,69.97,97.28,87.15,64.11,57.37,39.19,33.9
Spain,DAROCA,3971,2011,62.06,42.21,81.86,38.22,61.66,89.43,57.91,31.59,50.36,41.56,71.08,72.63,86.61,91.45,90.13,78.94,63.44,31.17,35.27
Spain,DAROCA,3971,2012,63.1,50.88,77.72,45.89,66.17,92.26,47.52,43.52,59.77,72.07,45.08,80.67,89.5,98.87,88.31,62.72,50.05,29.69,35.86
Spain,DAROCA,3971,2013,57.96,37.83,74.53,34.65,53.03,85.72,56.53,36.88,30.83,42.69,59.25,57.34,84.47,89.06,83.6,73.25,59.7,36.53,40.03
Spain,DAROCA,3971,2014,58.99,42.32,77.73,34.07,64.75,87.44,53.4,26.91,35.42,54.46,68.19,71.69,83.56,89.84,88.79,63.75,61.67,34.5,27.28
Spain,DAROCA,3971,2015,61.31,41.54,78.62,34.9,65.92,85.73,52.82,43.63,33.66,47.5,67.61,82.72,85.11,90.0,82.07,63.58,47.42,47.64,42.72
Spain,DAROCA,3971,2016,58.8,43.14,78.83,38.99,58.96,92.09,50.51,30.56,44.02,46.67,62.19,68.12,86.19,95.54,94.35,65.83,49.7,36.03,25.91
Spain,DAROCA,3971,2017,64.89,42.38,81.05,35.64,71.28,87.06,62.39,37.28,44.58,60.78,77.47,75.78,85.61,93.04,82.47,71.67,64.52,50.92,33.41
Spain,DAROCA,3971,2018,57.61,44.95,76.28,35.82,56.23,87.71,49.73,39.78,34.11,46.1,58.64,64.03,75.33,98.06,89.33,71.5,47.98,29.78,34.6
Spain,DAROCA,3971,2019,64.72,48.92,78.28,47.01,68.53,88.96,54.15,40.24,68.24,73.95,51.14,79.95,91.14,88.15,87.66,70.94,55.13,36.33,33.84
Spain,DAROCA,3971,2020,58.78,43.02,74.58,40.89,53.52,87.94,53.28,33.52,56.29,43.66,39.92,76.56,83.44,91.32,88.92,66.22,56.26,37.25,31.53
Spain,DAROCA,3971,2021,59.12,44.01,73.59,37.49,60.21,86.3,51.62,34.7,47.17,57.23,49.42,73.63,76.58,94.3,87.72,58.72,57.58,38.36,32.47
Spain,DAROCA,3971,2022,59.71,42.58,81.17,46.39,54.01,92.5,48.7,53.25,54.2,20.59,59.31,82.31,91.64,99.76,86.08,67.11,46.16,32.92,23.09
Spain,DAROCA,3971,2023,63.23,42.04,79.63,37.36,70.83,86.19,54.35,39.44,50.86,60.35,83.75,68.82,63.86,99.3,94.68,66.58,50.7,45.89,33.6
Spain,DAROCA,3971,2024,60.34,43.26,80.06,36.49,70.81,86.04,45.98,30.94,45.52,53.12,76.31,83.17,75.83,94.87,87.1,62.25,35.24,40.81,38.41
Spain,DAROCA,3971,2025,58.32,36.87,79.83,38.92,57.94,87.14,55.32,30.3,49.02,28.74,64.11,81.18,87.61,91.38,83.12,72.94,55.35,37.67,23.76
Czech Republic,STRAZNICE,3972,2010,34.36,17.26,49.68,9.81,39.67,60.69,27.01,6.72,15.77,37.9,54.17,27.42,60.83,66.4,54.84,34.44,31.72,14.72,6.45
Czech Republic,STRAZNICE,3972,2011,45.42,24.97,62.87,15.56,64.08,59.28,41.56,11.02,30.65,55.46,57.58,78.98,61.86,45.4,70.65,62.56,35.62,26.69,8.01
Czech Republic,STRAZNICE,3972,2012,44.53,27.71,62.38,16.73,61.28,63.32,34.4,15.7,27.16,53.04,58.28,72.42,60.06,57.82,71.99,53.22,35.46,14.47,13.9
Czech Republic,STRAZNICE,3972,2013,36.65,17.92,55.32,10.53,39.41,67.01,30.27,4.92,13.01,25.16,50.39,43.04,54.39,81.99,64.25,37.08,37.2,16.31,10.16
Czech Republic,STRAZNICE,3972,2014,41.53,26.4,57.44,16.36,53.76,64.54,29.62,13.49,26.4,54.49,49.64,57.02,79.39,65.0,49.7,43.89,30.16,14.81,13.55
Czech Republic,STRAZNICE,3972,2015,42.06,22.31,63.49,16.68,47.73,76.29,28.84,7.63,30.15,38.06,62.19,43.39,75.72,79.01,74.11,46.33,19.22,21.28,7.72
Czech Republic,STRAZNICE,3972,2016,,17.04,,11.16,,68.32,33.25,10.27,15.8,28.01,49.36,,72.94,64.6,67.55,64.42,17.31,18.56,10.89
Czech Republic,STRAZNICE,3972,2017,42.02,22.05,60.85,17.5,50.24,75.05,25.29,23.49,18.18,43.39,38.03,68.9,85.86,64.22,75.43,31.78,28.09,15.92,8.76
Czech Republic,STRAZNICE,3972,2018,44.82,18.3,68.83,12.71,56.39,69.61,41.65,8.49,21.76,27.02,67.75,74.76,55.58,72.98,79.81,61.39,41.37,22.19,3.41
Czech Republic,STRAZNICE,3972,2019,,25.2,60.15,14.86,44.71,72.36,,7.98,35.15,41.96,57.47,35.11,89.42,66.56,61.67,51.22,,14.17,8.55
Czech Republic,STRAZNICE,3972,2020,42.45,,64.08,14.36,66.01,62.12,27.8,11.21,23.94,53.76,84.53,60.32,52.25,73.2,60.59,53.56,20.43,9.67,5.67
Czech Republic,STRAZNICE,3972,2021,42.05,17.32,61.37,11.45,46.11,72.06,38.09,9.01,20.57,38.63,47.78,51.96,93.31,74.35,49.19,51.89,46.72,15.36,5.03
Czech Republic,STRAZNICE,3972,2022,42.76,28.59,60.77,15.18,58.85,70.42,25.8,12.74,29.11,62.2,47.31,66.67,76.58,71.96,62.9,38.56,28.98,9.75,5.05
Czech Republic,STRAZNICE,3972,2023,39.22,17.47,58.52,8.49,46.26,62.23,37.76,4.27,16.96,39.49,37.86,61.16,65.94,68.79,52.07,65.08,36.99,11.22,9.38
Czech Republic,STRAZNICE,3972,2024,40.18,21.63,60.91,14.73,50.14,69.0,27.53,14.92,20.26,36.59,54.67,59.3,66.33,70.65,69.95,43.97,26.64,12.0,6.18
Czech Republic,STRAZNICE,3972,2025,40.5,22.16,59.77,14.31,53.99,69.13,25.16,6.96,31.43,50.32,60.36,51.48,79.17,59.68,68.87,39.03,26.64,9.75,2.23
Czech Republic,VELKE MEZIRICI,3973,2010,33.47,15.16,49.64,7.78,40.04,59.69,25.55,5.91,11.01,37.37,61.67,21.77,59.17,68.28,51.61,35.56,31.18,9.72,7.26
Czech Republic,VELKE MEZIRICI,3973,2011,43.51,22.77,62.3,14.81,61.25,60.23,35.56,9.14,29.46,50.08,57.44,76.1,65.11,51.67,64.06,59.25,30.59,17.0,11.64
Czech Republic,VELKE MEZIRICI,3973,2012,42.94,26.28,60.96,19.54,58.94,62.06,30.06,17.58,30.09,50.73,53.06,72.85,58.25,56.51,71.29,53.19,28.25,8.81,13.9
Czech Republic,VELKE MEZIRICI,3973,2013,35.74,14.99,55.44,8.97,37.32,69.9,27.77,4.06,8.96,25.16,47.42,39.7,52.89,89.14,67.12,35.39,34.09,13.64,8.87
Czech Republic,VELKE MEZIRICI,3973,2014,34.42,21.83,51.79,11.52,49.54,56.34,19.22,7.88,18.48,47.45,49.17,51.99,67.86,60.08,41.45,40.25,13.92,3.67,10.08
Czech Republic,VELKE MEZIRICI,3973,2015,40.82,16.4,60.6,14.48,48.49,71.76,27.18,8.09,26.43,36.77,63.17,45.99,67.25,76.75,71.13,38.92,19.14,23.75,12.04
Czech Republic,VELKE MEZIRICI,3973,2016,,18.57,,14.43,,62.04,28.65,14.17,17.27,25.11,45.89,,59.33,62.31,64.38,62.19,11.59,12.75,10.46
Czech Republic,VELKE MEZIRICI,3973,2017,40.66,19.54,59.37,17.56,48.75,72.46,22.85,21.96,20.57,39.81,36.03,70.0,84.44,62.58,70.75,31.58,27.5,9.31,11.42
Czech Republic,VELKE MEZIRICI,3973,2018,45.15,17.79,68.37,14.14,59.04,66.48,41.34,6.16,25.98,26.88,73.53,77.18,57.31,67.55,74.27,59.89,46.13,17.83,8.12
Czech Republic,VELKE MEZIRICI,3973,2019,,26.34,58.88,18.41,43.67,68.84,,13.66,35.06,37.8,56.58,37.04,79.78,68.63,58.47,53.17,,9.81,13.41
Czech Republic,VELKE MEZIRICI,3973,2020,41.2,,63.15,15.38,63.66,60.19,27.54,12.07,21.01,50.19,84.42,57.04,46.81,69.76,63.58,57.28,15.16,10.58,6.37
Czech Republic,VELKE MEZIRICI,3973,2021,40.02,17.55,56.41,13.89,43.51,64.95,36.4,10.73,25.71,37.34,49.14,44.25,80.83,68.79,45.73,50.06,45.67,13.17,8.47
Czech Republic,VELKE MEZIRICI,3973,2022,43.42,28.77,60.68,17.27,56.73,72.26,27.0,14.19,30.42,60.35,45.36,64.11,83.64,72.37,61.13,36.94,31.77,12.11,7.5
Czech Republic,VELKE MEZIRICI,3973,2023,39.88,19.7,58.51,12.82,44.07,62.54,38.0,9.06,22.89,34.95,33.97,62.96,66.97,69.27,51.51,66.11,32.5,15.58,11.88
Czech Republic,VELKE MEZIRICI,3973,2024,41.97,21.57,61.56,14.47,50.06,68.29,33.44,18.25,13.19,37.26,55.97,57.15,65.0,68.41,71.34,51.06,26.69,22.81,15.56
Czech Republic,VELKE MEZIRICI,3973,2025,42.64,25.77,61.66,17.89,53.9,70.19,30.12,7.1,32.41,50.59,58.72,52.55,81.69,55.7,73.55,47.86,22.88,19.86,8.98
Czech Republic,KOCELOVICE,3974,2010,35.89,17.54,52.64,8.24,47.19,60.05,27.2,4.03,14.29,44.09,64.44,33.6,60.0,73.39,46.77,37.78,31.99,11.67,7.53
Czech Republic,KOCELOVICE,3974,2011,43.46,22.71,62.63,13.8,64.18,58.19,36.58,9.14,25.89,50.0,64.83,77.72,62.83,50.05,61.83,58.44,34.03,17.33,8.68
Czech Republic,KOCELOVICE,3974,2012,42.18,27.23,58.21,18.89,58.84,60.34,28.1,18.84,29.86,54.49,50.81,70.97,54.25,57.15,69.41,45.89,27.85,10.56,15.11
Czech Republic,KOCELOVICE,3974,2013,35.28,16.2,52.04,9.65,32.74,68.67,28.92,7.45,6.04,29.03,35.64,33.66,51.78,86.56,67.12,36.44,38.04,11.97,16.64
Czech Republic,KOCELOVICE,3974,2014,38.48,26.02,56.51,18.58,51.85,65.58,20.51,12.63,27.32,49.17,52.14,54.25,76.53,72.15,48.41,35.39,21.32,4.81,7.04
Czech Republic,KOCELOVICE,3974,2015,41.64,17.59,60.58,12.36,51.03,71.35,26.95,6.99,24.2,41.42,61.19,50.81,59.75,80.48,73.44,37.03,21.91,22.08,19.11
Czech Republic,KOCELOVICE,3974,2016,37.11,20.01,57.09,17.92,40.53,60.89,31.17,16.02,18.68,22.23,43.78,55.7,55.86,58.41,68.23,60.19,14.01,19.89,12.12
Czech Republic,KOCELOVICE,3974,2017,39.24,21.43,56.98,18.18,47.64,70.45,20.51,17.85,25.24,39.78,34.64,68.09,82.83,60.38,68.55,26.5,24.22,10.69,10.7
Czech Republic,KOCELOVICE,3974,2018,44.13,17.23,67.45,15.14,54.62,67.18,39.93,9.89,25.86,22.66,70.25,71.45,55.67,73.79,71.72,61.33,41.53,16.86,7.63
Czech Republic,KOCELOVICE,3974,2019,40.82,25.58,57.81,19.38,45.0,67.8,27.52,11.42,41.19,36.05,61.58,37.9,88.39,64.22,51.45,43.97,29.19,9.33,16.48
Czech Republic,KOCELOVICE,3974,2020,42.96,23.31,64.54,17.49,61.79,62.85,31.47,18.47,17.53,48.04,83.81,54.25,52.14,73.66,62.42,61.08,18.66,15.08,10.0
Czech Republic,KOCELOVICE,3974,2021,39.46,20.03,54.56,16.53,42.24,61.19,37.45,12.23,28.51,36.34,48.0,42.55,77.89,61.91,44.3,53.22,49.03,9.69,9.76
Czech Republic,KOCELOVICE,3974,2022,42.43,27.58,58.66,16.01,54.89,69.37,28.74,13.41,25.8,57.04,39.0,68.12,74.67,73.17,60.43,35.69,33.95,16.39,9.7
Czech Republic,KOCELOVICE,3974,2023,40.75,20.27,59.9,12.86,40.97,66.93,40.92,9.3,20.3,31.88,33.75,57.04,75.44,71.51,54.11,67.42,38.82,16.58,11.88
Czech Republic,KOCELOVICE,3974,2024,39.41,22.57,56.85,14.51,46.03,64.08,30.19,19.49,12.01,35.78,51.58,50.91,59.33,64.19,68.55,46.08,24.25,20.44,19.17
Czech Republic,KOCELOVICE,3974,2025,43.13,27.36,60.28,22.43,57.45,65.28,28.61,15.59,33.6,51.48,59.94,61.02,79.11,46.26,70.91,44.53,21.18,20.36,13.66
Czech Republic,VRAZ,3975,2010,31.32,15.66,45.36,7.87,38.04,53.71,24.63,4.3,13.1,36.29,56.94,21.51,51.94,65.86,43.28,32.78,30.11,10.83,8.06
Czech Republic,VRAZ,3975,2011,41.44,22.47,59.13,14.63,61.69,54.77,33.48,9.68,27.38,48.87,62.94,73.31,58.69,48.25,57.5,54.03,31.21,15.28,9.62
Czech Republic,VRAZ,3975,2012,40.84,26.28,55.75,19.4,57.09,57.52,26.55,20.11,29.08,52.2,49.56,69.27,52.83,53.47,66.1,42.53,26.02,11.11,16.77
Czech Republic,VRAZ,3975,2013,33.6,16.12,50.15,10.12,32.95,65.67,26.36,7.28,5.89,28.49,35.47,34.97,52.67,79.76,64.17,32.94,35.75,10.08,12.96
Czech Republic,VRAZ,3975,2014,34.51,24.18,49.56,17.28,46.21,57.39,18.73,11.02,28.99,46.26,44.47,47.85,67.56,64.09,40.86,32.39,18.84,4.94,6.67
Czech Republic,VRAZ,3975,2015,38.51,17.01,55.19,12.43,46.07,65.7,25.4,7.58,24.17,40.19,54.19,44.09,53.89,71.61,71.21,35.44,21.02,19.89,17.8
Czech Republic,VRAZ,3975,2016,,19.89,,17.48,,60.3,29.93,15.56,19.2,25.81,44.39,,57.14,59.35,64.3,57.17,14.95,18.17,9.38
Czech Republic,VRAZ,3975,2017,39.03,20.71,56.09,16.95,46.8,68.98,21.48,17.42,24.82,39.87,33.31,66.8,79.19,61.29,66.77,28.31,23.79,12.28,13.06
Czech Republic,VRAZ,3975,2018,43.05,17.76,65.84,16.01,53.38,65.91,38.39,9.92,26.01,22.12,69.81,68.74,55.06,68.92,73.41,58.67,40.16,16.28,6.72
Czech Republic,VRAZ,3975,2019,,25.09,55.68,19.05,44.22,65.55,,13.71,38.6,36.1,61.06,36.05,83.39,63.82,50.03,40.33,,8.42,15.67
Czech Republic,VRAZ,3975,2020,40.93,,61.34,16.95,59.19,59.99,29.08,16.96,18.3,44.97,81.17,52.15,48.67,69.03,61.91,55.14,19.92,12.5,10.11
Czech Republic,VRAZ,3975,2021,38.34,19.45,52.86,16.66,41.35,59.62,35.11,12.42,28.6,33.82,48.72,41.75,74.14,62.55,42.63,47.78,46.67,10.5,10.43
Czech Republic,VRAZ,3975,2022,40.43,27.34,55.51,16.0,53.92,65.96,25.65,12.69,25.83,57.26,41.64,62.47,70.61,69.11,58.31,30.11,32.1,14.53,8.95
Czech Republic,VRAZ,3975,2023,38.72,19.6,56.27,11.93,40.9,61.62,39.61,7.39,20.24,34.27,29.92,58.15,66.97,65.11,52.96,64.28,36.29,18.36,9.68
Czech Republic,VRAZ,3975,2024,37.77,21.44,54.34,13.02,44.97,60.16,29.4,17.66,11.64,34.3,50.81,50.0,57.5,57.37,65.54,44.47,26.8,17.03,19.03
Czech Republic,VRAZ,3975,2025,41.76,26.86,58.19,22.92,54.77,63.13,28.41,15.27,35.68,47.88,58.81,57.77,77.14,43.28,69.41,42.89,21.61,20.94,10.86
Czech Republic,VYSSI BROD,3976,2010,32.21,18.09,45.77,8.98,41.03,52.36,25.92,5.11,13.99,37.9,61.39,24.46,46.94,65.86,44.09,31.94,30.38,15.28,8.33
Czech Republic,VYSSI BROD,3976,2011,41.93,24.57,55.8,16.85,59.94,51.88,38.22,13.71,29.76,50.13,61.14,68.58,50.89,43.87,60.83,49.28,37.02,28.42,9.09
Czech Republic,VYSSI BROD,3976,2012,42.05,28.21,56.99,17.15,56.7,59.83,31.58,16.59,26.38,51.67,53.44,64.89,61.56,50.94,67.04,43.64,32.63,18.42,16.67
Czech Republic,VYSSI BROD,3976,2013,36.21,19.06,51.78,10.56,36.21,65.05,30.83,6.45,8.36,30.78,38.75,39.19,53.25,78.76,62.77,37.11,40.13,14.94,21.24
Czech Republic,VYSSI BROD,3976,2014,34.15,29.11,42.52,23.35,41.84,49.94,24.27,15.32,34.58,48.49,35.81,41.02,62.89,52.88,34.46,28.03,30.11,14.47,11.88
Czech Republic,VYSSI BROD,3976,2015,38.31,21.12,52.77,15.3,41.47,65.84,26.03,6.94,28.33,35.46,53.22,36.1,48.06,77.31,71.59,29.44,24.38,24.31,23.66
Czech Republic,VYSSI BROD,3976,2016,,22.86,,19.81,,50.54,29.05,15.97,19.8,28.87,38.47,,45.97,52.61,52.9,53.97,17.34,16.22,23.95
Czech Republic,VYSSI BROD,3976,2017,38.96,24.91,53.65,25.73,43.44,66.29,24.27,24.33,29.26,38.52,30.44,60.94,73.5,59.92,65.67,30.58,27.53,14.58,11.1
Czech Republic,VYSSI BROD,3976,2018,39.41,16.95,59.81,11.19,48.65,61.29,37.25,10.08,12.5,25.4,67.61,53.55,48.56,66.13,68.76,53.94,37.9,19.89,7.07
Czech Republic,VYSSI BROD,3976,2019,,26.62,52.11,20.81,40.41,63.57,,14.65,42.83,38.71,57.0,26.05,81.17,61.83,48.28,39.03,,15.39,17.42
Czech Republic,VYSSI BROD,3976,2020,40.25,,54.96,21.54,52.92,56.3,30.88,25.22,22.01,45.38,75.42,38.68,45.69,63.82,59.03,47.22,22.07,23.64,14.62
Czech Republic,VYSSI BROD,3976,2021,38.45,23.86,50.71,19.45,42.34,56.44,35.55,10.13,35.12,38.66,49.19,39.38,73.0,56.13,40.73,46.36,43.47,16.56,13.36
Czech Republic,VYSSI BROD,3976,2022,40.29,29.38,51.49,17.99,52.63,61.95,27.75,14.27,27.23,60.78,38.31,58.33,67.67,64.87,53.49,25.56,36.21,21.19,13.98
Czech Republic,VYSSI BROD,3976,2023,39.29,24.64,54.52,17.56,40.27,60.43,39.21,9.62,30.33,36.96,27.97,55.48,67.75,62.9,50.86,61.94,38.06,17.67,11.69
Czech Republic,VYSSI BROD,3976,2024,38.2,24.16,52.6,17.36,45.84,58.85,27.45,22.9,17.5,36.48,49.42,51.75,55.08,57.2,64.14,37.5,26.88,18.0,20.48
